id,last_name,first_name,description,status,status_expired_set,current_status_interview,datenquelle,adresse,strasse,hausnummer,plz,arbeitsort,wohnort,wunscharbeitsort,umzugszwang,available,regionale_verfuegbarkeit,position_now,next_career_step,qualification,department,short_note,long_note,e_mail,tel,linkedin,anlage_wann,minicrm_id,how_where_contacted
62,Müller,Sarah,Dr.,contacted,,,,,,,,,,,,,,,,Facharzt,Strahlentherapie,,ist Gesellschafter,sarah.müller@web.de,+49 1323616496,,48113-11-21 00:00:01,1qhj1pok6h2ppp1myqzy05s55wzky4,
229,Schmidt,Clara,,interested,,,,,,,,,,DE,True,ganz Deutschland,,"Facharzt, Freelancer","Oberarzt, Ltd. OA, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",will Zusatzweiterbildung in Neuroradiologie,"Ist in Vertretung bis Ende September.
will interventionell Radiologisch und Neuroradiologisch arbeiten.
Hatte damals 1,5 Jare als AA interventionell gearbeitet. Braucht 6 Monate bis er alleine machen.
Kann 3 Jahre garantieren zu bleiben.
Dienste wie bei voller Stelle
75% bei 175k

Tel. Lübeck und Lüdenscheid wollen keine 200k zahlen, weil er erst 1 Jahr FA ist. Das sind aber seine Bedingungen. Gerne kann ich mich mit anderen Angeboten melden. 

Tel. ist junger FA 10/2024. viel als Honorararzt als AA gearbeitet. Kann Diagn alles und will Zusatzweiterbildung in Neuroradiologie machen. Kein Mamma, aktuell auch kein Prostata, Q1 Herz.
Abrechnung kann man erst nach Q2 machen. 
als Honorararzt bekommt er 250-320k 
Jetzt will er 200k + 30-40k für Dienste.
Würde nach Probezeit auch umziehen. könnte ab 01.10. aber besser ab 01.12. starten. hat 5 Jahre keine Interventionen gemacht.",clara.schmidt@outlook.com,+49 1422460937,,2025-06-25 23:59:00,2hsw7fmcn00ca19pqber2lepx7t0sj,Tel.
230,Weber,Klara,PD Dr.,interested,,,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",Diagn. + interv. Neuroradiologie,"20.06.25: Will die Weiterbildung / Zusatzbezeichnung Neuroradiologie erstmal zu Ende machen. Noch ein Jahr. 

3M zum Q-Ende
War lange an der Uni in HH und hat Diagns. und Interventionelle Radiologie gemacht, 
Ist jetzt bei Asklepios in HH als Springer und mach 2 Jahre WB in Inteventioneller Neuroradiologie. Macht an 4 Standorten in HH Thrombektomien. Ist im Sommer bei 1 Jahr. Will unbedingt WB zu Ende machen. Bekommt nach Tarif und will mehr Geld verdienen. Wohnen in HH, aber Umzug ist auch OK. Möchte am liebsten Interventionen und Diagnistik machen. Wunsch 240 oder in die Nähe davon.",klara.weber@gmail.com,+49 1093576956,,2025-06-20 23:59:00,0pmfi9ckwe2oole284of1ah30egauj,Email
233,Schneider,Klara,,interested,,,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",will ZWB Neuroradiologie machen,"Lüdenscheid will nicht weil keine ZWB möglich
Lübeck hat Segali selbst abgesagt
vereinbart, dass wir in Kontakt bleiben

Jetzt Uniklinik Marburg Honorarärztin

Hat neuro gemacht.
Macht aktuell befristete Anstellung
Recklinghausen wohnt 
Will Embolisation und alles für Modul F lernen
Hat 2024 Thrombektomien gemacht
30-40 gemacht
kann nach einem Monat Dienste machen
braucht 1 Jahr noch für die Zusatzbezeichnung Neuroradiologie
Kann Alles Diagnostik auch Mamma alles 
Kann auch Kinderradiologie 
2019 Mai FA gemacht
Ist aktuell befristet in Marburg
will 200k ohne Dienste Grundgehalt
CV kommt  
Ab 01.01.2026 kann anfangen",klara.schneider@gmail.com,+49 1467552838,,2025-07-24 23:59:00,26k71evb6i1jf8pz40la0t3ymtinvy,Tel.
234,Hartmann,Maria,,interested,,,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",will Ltd. OA mit interv. Neuroradiologie,"hat einen Vertrag von seinem aktuellen AG angeboten bekommen. will sich nächste Woche mit Antwort melden. Keine Rückmeldung.
35 J alt
In Köln studiert
war bei Klinikum Oberberg
Uni Aachen Neuroradiologie gelernt
kann Thrombektomie 
Aktuell OA Strahlsund Helios
Zertifikat Modul E kann machen.
Macht 10 Dienste bei Helios 
will 250k",maria.hartmann@web.de,+49 1725321619,,2025-07-15 23:59:00,12cna1pnot0lb07vn617208nzqqpfs,Tel.
235,Krüger,Mila,,in Interview,,1. Kennenlernen,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Facharzt,"Oberarzt, Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",kann alle Interventionen,"Bei Göbel in Herdecke angefragt
vorgestellt bei Kramer

Hat ein gutes Angebot OA mit 200k

Segali hat angeboten 175 - 200 - 220
OA - Modul E - Ltd. OA 
Diagnostik ist Problem 
Diagn 50/50

spricht Russisch.
Macht seit 3 Jahren selbst Thrombektomien
bereitet sich auf Modul E vor
Kann auch Kardio Interventionen. 20 Jahre Berufserfahrung mit Kardiologie und Neurochirurgie
Familie hat Haus in Celle gekauft. Könnten Umziehen. Pain Poit sein Chef weiß dass er ein Haus hat und will ihm keine OA Stelle geben. 
Sein Chef kommt aus Uni Lübeck
Diagnostik müsste lernen.",mila.krüger@yahoo.de,+49 1805827780,,2025-12-17 23:59:00,1jmp9rm8e202gwyfedzi2abn6jz2j4,Email
238,Meyer,Mila,,interested,,,,,,,,,,DE,,"ganz Deutschland, Schweiz",,Facharzt,"Facharzt, Oberarzt, Ltd. OA, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",Interventionelle Neuroradiologie,"11/2025 hat einen neuen Job in Gemainschaftskh Herdecke
Tel. Nr. von Mraisch erhalten

Tel: Hat Thrombektomien gemacht 49 selbst 
Schnell anfangen ab 01.11. Vollzeit
Wohnt in Hagen
Ist bis Oktober gebunden
3 Monate Teilzeit 50% bis dahin
Und danach Vollzeit
Er soll Weiterbildungsermächtigung machen, Will Zusatzweiterbildung Neuroradiologie
Hat schon 3 Monate Weiterbildung gemacht
Angebot aus Cottbus für 240k 8 inkl.",mila.meyer@web.de,+49 1623987009,,2025-07-24 23:59:00,1d383ysd361pb775yokd2kbqh8snah,Email
240,Zimmermann,Isabella,Dr.,interested,,,,,,,,,,DE,,"ganz Deutschland, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",will Leitung Neuroradiologie mit E und F,"St. Gallen vorgestellt. Abgesagt, weil Gehalt zu niedrig.

 Kennt Dr. Hellstern. Tel. Verdient jetzt 270 ohne Zulagen. Vllt wegen der Familie doch interessant. Ist am Montag in Zürich. vereinbart dass ich freitag nächste Woche anrufe, sie ist dann im Urlaub

macht nur Neurointerventionen inkl. AVM, Durafestel etc. Keine Diagnistik 
Hat Modul E und F
Will Leitung. Ist jetzt OA und wird geschäftsführende OA
vereinbart, dass wir in Kontakt bleiben. 
Sucht längerfristig war interventionelles E und F
Sektionsleitun ltd. OA
jetzt Vollzeit mit 18 Dienste aktuell

St. Gallen angeboten",isabella.zimmermann@web.de,+49 1095671607,,2025-11-21 23:59:00,05s9prq3xa27g5zvj3ts19tl21sfxb,Tel.
242,Richter,Nina,,interested,,,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Facharzt,"Oberarzt, Ltd. OA",Facharzt,"Radiologie, Neuroradiologie",will Neurointerventionen lernen,"Seit 1 Jahr FA und ist offen. 
Will Zusatzweiterbildung Neuroradiologie zu Ende machen und ist Ende des Jahres fertig
Ganz DE offen
SP Diagn. Neurodiagnostik, Onko und Prostata",nina.richter@web.de,+49 1396810729,,2025-07-30 23:59:00,0sj8g4up4j0kao63yk582q7utjnxpe,Tel.
246,Krüger,Clara,,interested,,vorgestellt bei Bader,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Chefarzt,"Chefarzt, Gesellschafter",Facharzt,"Radiologie, Neuroradiologie",will Gesellschafter,"ist CA in Leer

vorgestellt bei Bader - absage Email

Mamma hat lange gemacht
Prostata und Herz wenig 
SP MSK und Neuro
210k OK
Anfang des Jahres anfangen
Erst er ein paar Monate und dann Familie
Haben ein Haus in Meppen
Wenn dann nur Beteiligung interessant",clara.krüger@yahoo.de,+49 1304055831,,2025-08-28 23:59:00,0iv8cjhb8a22i2fo1c772if32fmzyc,Tel.
249,Wagner,Anna,,interested,,,,,,,,,,DE,True,"ganz Deutschland, Österreich, Schweiz",,Oberarzt,Ltd. OA,Facharzt,"Radiologie, Neuroradiologie",will nach CH oder D / Ltd. OA oder CA,"Tel. will erst seine Prüfung im Januar SP Neuroradiologie machen und dann weitersehen. Bitte erstmal noch nicht vorstellen bei Hellstern, bei Dr. Knecht mehr Interesse, Vereinbart dass er überlegt. 

hatte seine Approbation automatisch erhalten. will Promotion machen. Wenn Ltd. OA dann gerne bis zur Rente.
80-100%
Kann auch an eine Uni als OA und dann promotion machen. 
Macht noch keine KI in der Diagnostik
Programmiert seit 1998 als Hobby html
hat https://www.neuroradx.de/ mit 7000 Fragen selbst programmiert.
Ist Diszipliniert
Hat 2007 1 Jahr lang Gesundheitsmanagement gemacht und Interesse an wirtschaftlichen Prozessen
macht seit 2 Jahren Ausbildung von Kollegen
ist auch FA Innere und deswegen gute Zusammenarbeit mit Innere zB bei Indikationen für CT
weil verständnis aus beiden fachbereichen
hat schon MEBEKO
kann ab 01.04.2026 - 3M zum QEnde
Gerne Leitung will DR machen
Kann Thrombektomien und Stents
AVM, Durafisteln und Aneurysmen mitgemacht aber nicht selbst. Kann gerne lernen. Interessant für Hellstern und Knecht",anna.wagner@yahoo.de,+49 1459414900,,2025-11-05 23:59:00,2929yirpv615zutiar3h1mz5pv0515,Tel.
251,Schwarz,Julia,,interested,,,,,,,,,,DE,,"ganz Deutschland, Österreich, Schweiz",,Ltd. OA,Chefarzt,Facharzt,"Radiologie, Neuroradiologie",will CA Neuroradiologie,"Arbeitet im Krupp, hat Modul E/F",julia.schwarz@web.de,+49 1720222876,,2025-11-11 23:59:00,1xdrxcvvq80xi142eubw03yksjlhha,LinkedIn
253,Schulz,Emma,Dr.,interested,,,,,,,,,,DE,True,ganz Deutschland,,Oberarzt,"Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",will Ltd. OA mit interv. Neuroradiologie,"Tel. macht Anfang des Jahres SP Neuroradiologie. Will dann Ltd. OA oder CA mit Interventioneller Neuroradiologie
Hat Modul E 
Für F braucht man noch 2 Jahre",emma.schulz@yahoo.de,+49 1619722944,,2025-11-25 23:59:00,19k0vb25ev0xbenlmryl10l6z3fzlc,Tel.
259,Koch,Elena,Dr.,interested,,,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt",Facharzt,Neuroradiologie,nur interv. Neuroradiologie,"Tel. Ist OA im Krupp bei Chapeao, hat mehr als 400 Thromektomien selbst gemacht. Will nur Interventionell in Zukunft arbeiten und das ganze Spektrum inkl. AVM, Fistel etc. machen.",elena.koch@web.de,+49 1178356880,,2025-06-22 23:59:00,2ajgfyro0s0vk70q8myf2a84mxj8c2,Tel.
260,Richter,Mila,Dr.,interested,,,,,,,,,,DE,True,"ganz Deutschland, Österreich, Schweiz",,Ltd. OA,Chefarzt,Facharzt,Neuroradiologie,will CA Neuroradiologie,"hat Modul E und F 
machen ca. 200 Thrombeltomien
30 AVM 70 Aneurysmen 20 Durafisteln, ähnlihc St- Gallen. Kennt Hellstern
Hat jetzt 250k deswegen St. Gallen nicht interessant
Umzug OK ist flexibel, 
gerne CA in DE oder entsprechende Position in CH mit 300 CHF
Leitet die Neuroradiologie in Karlsruhe seit 4 Jahren.",mila.richter@outlook.com,+49 1244672812,,2025-10-20 23:59:00,1jf21ap3st21dnscc5wf0bdf6s2uh6,Tel.
261,Koch,Lena,PD Dr.,interested,,,,,,,,,,DE,True,"ganz Deutschland, Österreich, Schweiz",,Ltd. OA,"Ltd. OA, Chefarzt",Facharzt,Neuroradiologie,FA Neuroradiologie mit E und F,"Hellstern leider abgesagt

will mehr Action. Ist seit einem Jahr in Esslingen aber es ist nicht spannend. 
Hat Modul E und F
Kann alles, mit etwas einarbeitung. 
war mehr als 20 Jahre an der Uni.  jahre als Ltd. OA in Uni Gießen
1 Jahr OA in Salzburg
hat SP Neuroradiologie und hat nur das gemacht. 
will je mehr desto besser arbeiten. 

Wichtig sind Motivation und Klima. FA seit 2014. 
Hat die Österreichische Zulassung und alle Papiere für CH aber noch keine MEBEKO.",lena.koch@outlook.com,+49 1452801055,,2026-01-05 23:59:00,1gyndu1ndr1h75vo6y2x2hsl1nyi6x,Email
28,Krüger,Maria,Dr,interested,,,,,,,,,,DE,True,"ganz Deutschland, Österreich, Schweiz",,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,Orthopädie & UCH,will CA,"Prien wurde abgelehnt weit keine spez ortho chirurgie. Macht diese aber schon 2026

macht Dienste in der UCH + Endoprothetik
Kann eine minimal-invasive Methode  AMIS von Fa Medacta. Macht das seit 4 Jahren. Pat kommen von Weit. 
War als AA bei der Gründung des Endo-Zentrums in Wesel dabei. Hat damals 10-12 Dienste gemacht und das Team war am Ende 1-5OA-8AA. Er selbst und ein weitere AA sind dann auch OA geworden. 
Haben in Wesel 3 Hüften und 1 Knie pro Tag gemacht. 
Ist jung und kommunikativ
Ist dann nach Bochum. Bekannt für Revisionen. Dort sehr viel Revisionsendoprothetik (10-12 Stunden OPs + BG).
Für Spez. orthopädische Chirurgie noch 14  MOnate weil man nicht parallel machen darf. 
Man kann aber auch schon arbeiten wenn man im Team jemadnen damit hat .
Hat im Dez 3 Wochen freu wg Überstunden
3M Frist aber nach Abspreche auch früher.
aktuell 160-180, will entsprechend mehr. 
Flache hierarchien. Kommunikation. Aufbau.
Keine Familie, Umzug OK",maria.krüger@yahoo.de,+49 1929847016,,2025-12-23 23:59:00,21gn1ys5b41jth43zoi50qv70lynp1,Email
29,Müller,Paula,Prof. Dr. Dr.,interested,,,,,,,,,,DE,,"ganz Deutschland, Österreich, Schweiz",,Chefarzt,Chefarzt,Facharzt,Orthopädie & UCH,CA Orthopädie und UCH,"eine der größten Kliniken. Haben 8 OPs 
Doppelseitige Endoprothetik und Minimalinvasive Endoprothetik. Vorstandsmitglied und International bekannt. Spezielle orthopädische Chirurgie also alles von Kopf bis Fuß.
Offen für Große Kliniken und Städte wie Zürich, München und co. 
Verdient jetzt mehr als 300k.",paula.müller@gmail.com,+49 1828195638,,2025-12-09 23:59:00,0wma8qhd8b0lidpdj6e2197obu8hxg,Tel.
367,Schmidt,Elena,Dr.,interested,,anrufen,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter, Gesellschafter",Facharzt,Radiologie,Zürich oder Basel etwas spannendes,"Gerne Universitäre Großstadt weil Partnerin in der Forschung arbeitet (Neuro  an Tieren)
Wohnt Köln linksrheinisch
Will Schnittbild bleiben oder auch gerne kleinere Interventionen
Macht SP MSK, Herz und Prostata
40% Herz und Gefäß 40% CT onko
MRT 50% MSK und resdt kopf neuro und onkolo
Wien angeboten
6 monate zum Q-Ende
für Freundin Zürich ideal wegen Forschung",elena.schmidt@gmail.com,+49 1812109870,,2025-08-20 23:59:00,0j6iokhwo607ds4jotcr1n2jl1vhde,Tel.
383,Richter,Mara,Dr.,interested,,vor Ort Besuch,,,,,,,,DE,,ganz Deutschland,,Teilhaber / Gesellschafter / Inhaber,Gesellschafter,Facharzt,Radiologie,nur Teilhaberschaft,"Dr. Bader in Wien hat sich für Leppig entschieden. 

18.07.2025: Tel. Hat bei Uhlenbrock eine Teilhaberschaft angebten bekommen. Wie in WIen sich vorstellen. 
Ist verheiratet aber Wien sehr gerne. 
Deckt alles ab 
MSK ist Brot und Butter
Kann Herz und Prostata MRT
MR Angio auch
Teams Termin und dann nach Wien kommen

12.09.2024 - TP:
MSK, Prostata und Kardio interessieren mich. 
Das nehmen sie richtig an, dass ab April keine Dienste mehr infrage kommen

11.09.2024 - TP:
Aktuell bin ich in den Endzügen meiner Facharztausbildung an der Uniklinik Essen. Ab April nächsten Jahres bin ich auf der Suche nach einem Kassensitz/Teilhaberschaft einen Radiologischen Praxis und würde mich freuen, wenn Sie sich bei Interesse und entsprechenden Vakanzen bei mir melden würden.",mara.richter@yahoo.de,+49 1303937360,,2025-09-11 23:59:00,1fgz399ein13ngtjnblq2mb6hegz2t,Tel.
335,Weber,Sarah,,contacted,,,,,,,,,,,,,,,,Facharzt,Radiologie,,,sarah.weber@gmail.com,+49 1575909893,,48113-11-21 00:00:01,00fozrz4dg2r1508xst91fvm32hekp,
391,Becker,Elena,Dr.,interested,,,,,,,,,,DE,,"ganz Deutschland, Schweiz, NRW",,Facharzt,"Standortleiter, Gesellschafter",Facharzt,Radiologie,"offen - MSK, Prostata und Herz","TZ 80% 
Kann MSK, Prostata und Herz. 
Geis abgelehnt wegen Kinder und TZ
Eine langfristige Beteiligung an einer Praxis würde ihr sehr gefallen und auch ihr Ehemann (FA für Anästhesie) kann ich gut vorstellen in Wien eine neue berufliche Herausforderung anzutreten. Sie haben 2 schulpflichtige Kinder, sodass ein Umzug mit einer langfristigen Verlagerung des gemeinsamen Lebensmittelpunkts verbunden wäre. 

Frau Dr. Geis bringt fundierte ambulante Erfahrung mit, wobei Sie das gesamte diagnostische MRT-Spektrum inkl. Prostata und Herz abdeckt. Sie arbeitet zurzeit mit einem Pensum von 80% ,wobei man diesen Punkt in einem weiterführenden Vieraugengespräch gerne abstimmen kann. Zu beachten bleibt, dass ein Umzug zum 01.01.2026 schwierig wäre.",elena.becker@outlook.com,+49 1196042826,,2025-08-13 23:59:00,2lajz3t1bb1a8ltyfbvh1b6quh5hr9,Tel.
609,Neumann,Clara,Dr.,interested,,,,,,,,,,DE,True,"ganz Deutschland, Schweiz",,Ltd. OA,"Chefarzt, Gesellschafter",Facharzt,Radiologie,CH und DE,"ist ltd. OA beim KSBaselland 
gerne Angebote aus CH und DE",clara.neumann@web.de,+49 1525992759,,2022-02-18 23:59:00,0szgdsxuuv14wr1std260qiyoo3vm9,LinkedIn
