id,last_name,first_name,description,status,status_expired_set,current_status_interview,datenquelle,arbeitsort,wohnort,wunscharbeitsort,available,regionale_verfuegbarkeit,position_now,next_career_step,qualification,department,short_note,long_note,e_mail,tel,linkedin,minicrm_id,how_where_contacted,last_contact,gehaltswunsch,skills,cv_pdf,export_timestamp,export_date
90,Hartmann,Nina,,contacted,,,,,,nordrhein-westfalen,NRW,,,"Ltd. OA, Standortleiter",Facharzt,Strahlentherapie,,"20.03.2024 - TP:
bitte entschuldigen Sie, dass meine Rückmeldung ausblieb. Der Standort liegt in Bayern, das ist für mich ein Ausschlusskriterium. Weiterhin waren mir die 3,5 Kassensitze verteilt auf 16 Ärzten aufgefallen. 
Die Position ist für mich also leider nicht interessant.",nina.hartmann@outlook.com,+49 1903323159,,2cwqpj3hwe113o495zve28pl0tlnk7,,,82500,,,2026-02-04 23:43:39,2026-02-04
1131,Meyer,Sophie,,contacted,,,,,,,,,,,Facharzt,Orthopädie & UCH,,"23.06.2023 - EB:
Sucht eine leitende Stelle in Hamburg

skils:
Facharzt für Chirurgie
Facharzt für Orthopädie und Unfallchirurgie
Spezielle Unfallchirurgie
Spezielle Orthopädische Chirurgie",sophie.meyer@gmail.com,+49 1083484819,,21x9yaqupj00rsksa9gm0h27bqvqce,,,103500,,,2026-02-04 23:43:39,2026-02-04
162,Müller,Julia,Dr.,interested,,,,,,"bochum, nordrhein-westfalen",NRW,,Standortleiter,"Oberarzt, Ltd. OA, Standortleiter, Gesellschafter",Facharzt,"Radiologie, Kinderradiologie",FA Rad und Kinderradiologie - Bochum und Umgebung,"Nur Bochum und Umgebung. Hat 3 Kinder. War bei Uhlenbrock. Ist Standortleiter von einem kleinen Standort Mrt,ct, rö. Hat die Zusatzbezeichnung Kinderradiologie. Q1 MSK, kann Prostata und Herz CT. Kein Herz MR kein Mamma. 
Datteln, Evidia, Uhlenbrock, Rh DT interessant wenn Verträge iteressant sind. Gerne Leitung oder Teilleitung. Gerne per Lin schreiben.",julia.müller@gmail.com,+49 1540758439,,2f6hfo9u1e2l7queg3ld0bw9gbhi2o,Tel.,,315000,,,2026-02-04 23:43:39,2026-02-04
173,Becker,Maria,Dr.,interested,,,,,,köln,,,Oberarzt,"Ltd. OA, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",OA Köln Merheim,"Lüdenscheid per Email angeboten

12.04.2023 - TP:
Sehr geehrte Frau Boss.

Vielen Dank für die Zusendung des Stellenangebotes.

Ich bin derzeit aber nicht an einem Arbeitsplatzwechsel interessiert.

Bei ähnlich attraktiven Angeboten dürfen Sie mich aber gerne wieder kontaktieren.


Mit freundlichen Grüßen.",maria.becker@yahoo.de,+49 1521802612,,1f4rw53xhb1dgszenm2r0x63uxgise,Email,,120000,,,2026-02-04 23:43:39,2026-02-04
137,Schulz,Isabella,Dr.,interested,,vorgestellt bei Mergen,,,,"AT, CH, DE","ganz Deutschland, Österreich, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt",Doppelfacharzt,"Radiologie, Nuklearmedizin",interessiert an Tele-Nuk,"interessiert an Tele-Nuk
DoppelFA Radiologie Nuklearmedizin",isabella.schulz@yahoo.de,+49 1700266371,,2hae9ezock0umxg7nx520bwdv3bo0g,Tel.,,124000,,,2026-02-04 23:43:39,2026-02-04
228,Krüger,Lisa,,interested,,,,,,DE,ganz Deutschland,,Oberarzt,"Ltd. OA, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",will Ltd. OA mit interv. Neuroradiologie,"bei Ochtrop vorgestellt. Keine Rückmeldung.
Wien angefragt.",lisa.krüger@web.de,+49 1218635549,,16m1b5i07w0t9n9bp35r1kls7qisud,Email,,156000,,,2026-02-04 23:43:39,2026-02-04
851,Krüger,Alina,,contacted,,,,,,,,,,,Facharzt,"Orthopädie & UCH, Chirurgie",,"31.10.2022 - EB:
Arbeitet in Mettmanner KH, er hat eine inoffizielle ltd Position, ist Professor und verdient an die 160k. Er möchte unbedingt viel operieren. 
Ist Facharzt für Chirurgie mit Schwerpunkt Unfallchirurgie und Zusatzweiterbildung Notfallmedizin sowie Fachkunde aktive Notarzttätigkeit.",alina.krüger@yahoo.de,+49 1955339608,,216nrg49ri1p1hqomllb0ciom8sgb4,,,90500,,,2026-02-04 23:43:39,2026-02-04
193,Weber,Mara,Dr.,interested,,,,,,baden-württemberg,Baden-Württemberg,,Facharzt,"Facharzt, Oberarzt, Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",Mittel- und Südbaden (BW),vielen Dank für Ihre Nachricht. Ich bin aus privaten Gründen an Mittel- und Südbaden gebunden.,mara.weber@yahoo.de,+49 1148616516,,1oppei2d8o0jzqmtfuyu09pytlz5wj,LinkedIn,,89500,,,2026-02-04 23:43:39,2026-02-04
198,Krüger,Anna,Dr.,interested,,,,,,"berlin, hamburg",,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",ist bei Conradia HH - offen für HH oder Berlin,"15.10.2024 - TP:
FA Radiologie und Neuroradiologie. 56 J alt. Arbeitet in Elmshorn. 
Keine Interventionen. 
Kennt schon Viseorad",anna.krüger@outlook.com,+49 1519985289,,0u79n4761d00abpjlij31t3hi2fkvx,,,112500,,,2026-02-04 23:43:39,2026-02-04
214,Wagner,Lea,Dr.,interested,,,,,,nordrhein-westfalen,NRW,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",Nur klinisch und am Rhein,"Keine Rückmeldung mehr erhalten für Ochtrop.

Nochmal ansprechen wegen des Gehaltes.

Nochmal Tel. Lüdenscheid nicht, weil zu weit weg. Will jetzt doch keine Dienste mehr und auch keine Interventionen. Eltern Leben im Ruhrgebiet. Leverkusen vorgestellt als Leitung ambulante Versorgung. Hat nur einen Mann und einen  Hund.

Arbeitet aktuell bei einem kirchlichen Träger, wo eigene Gesetze gelten. Das gefällt ihr nicht. Macht aktuell Diagnostik und möchte wieder Interventionen machen. Gerne nur Notfall Interventionen (Thrombektomien). Kein AVM etc. 
Hat 6M zum QEnde Kündigungsfrist. Hat viel Führungserfahrung. Umzug OK, weil nur Ehemann und Hund. Arbeitet auch in der Ärztekammer NRW.
Kein Mamma, MSK nicht Favorit aber auch gerne. Hat Zertifikate in Herz und Prostata Diagnostik. Will 230k Gehalt wenn sie wechseln soll.  
Vorheschagen Lüdenscheid und Leverkusen. Schick mir ihren CV.",lea.wagner@web.de,+49 1711343540,,2ieon3lmo119rbzpcbiy1evo1623ev,Tel.,,103500,,,2026-02-04 23:43:39,2026-02-04
849,Wagner,Johanna,Dr.,interested,,,,,,CH,Schweiz,,,,Facharzt,"Radiologie, Mammographie",Basel und CH,"War 3 Jahre FA in Belgien
sucht in Basel und Umgebung ab 08/09-2025
Hat eine Absage bekommen weil das Deutsch noch nicht gut genug ist. 
Hat 1J Kind
Kann Mamma und Ultraschall
hat Mebeko",johanna.wagner@outlook.com,+49 1941796180,,1z98qf4j9b0i8xvjgv4i08gvumjsll,Tel.,,134000,,,2026-02-04 23:43:39,2026-02-04
234,Hartmann,Maria,,interested,,,,,,"CH, DE","ganz Deutschland, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",will Ltd. OA mit interv. Neuroradiologie,"hat einen Vertrag von seinem aktuellen AG angeboten bekommen. will sich nächste Woche mit Antwort melden. Keine Rückmeldung.
35 J alt
In Köln studiert
war bei Klinikum Oberberg
Uni Aachen Neuroradiologie gelernt
kann Thrombektomie 
Aktuell OA Strahlsund Helios
Zertifikat Modul E kann machen.
Macht 10 Dienste bei Helios 
will 250k",maria.hartmann@web.de,+49 1725321619,,12cna1pnot0lb07vn617208nzqqpfs,Tel.,,133500,,,2026-02-04 23:43:39,2026-02-04
1140,Schneider,Isabella,Dr.,contacted,,,,,,,,,,,Facharzt,Orthopädie & UCH,,,isabella.schneider@web.de,+49 1551605594,,2apce1pzwj13nbvl8xrg1gxpf66it5,,,93000,,,2026-02-04 23:43:39,2026-02-04
871,Neumann,Elena,,contacted,,,,,,,,,,,Facharzt,Innere Medizin,,,elena.neumann@yahoo.de,+49 1944251757,,1ijgs34dsw2iprhddt8n0q16wdflci,,,78500,,,2026-02-04 23:43:39,2026-02-04
246,Krüger,Clara,,interested,,vorgestellt bei Bader,,,,"CH, DE","ganz Deutschland, Schweiz",,Chefarzt,"Chefarzt, Gesellschafter",Facharzt,"Radiologie, Neuroradiologie",will Gesellschafter,"ist CA in Leer

vorgestellt bei Bader - absage Email

Mamma hat lange gemacht
Prostata und Herz wenig 
SP MSK und Neuro
210k OK
Anfang des Jahres anfangen
Erst er ein paar Monate und dann Familie
Haben ein Haus in Meppen
Wenn dann nur Beteiligung interessant",clara.krüger@yahoo.de,+49 1304055831,,0iv8cjhb8a22i2fo1c772if32fmzyc,Tel.,,227000,,,2026-02-04 23:43:39,2026-02-04
247,Schneider,Clara,,interested,,,,,,nordrhein-westfalen,NRW,,Ltd. OA,Chefarzt,Facharzt,"Radiologie, Neuroradiologie",nur CA mit interventioneller Neuroradiologie,"ist Ltd. OA in Solingen.
Hat Module E und F 
macht alles 
haben haus gekauft in Unterrath nur Düsseldorf und Umgebung
Wenn dann CA mit Interventionen und gerne auch Bauch und gelenkinterventionen",clara.schneider@web.de,+49 1912625657,,0eitwqd21p07s15mlaum1ee55ddjwo,Tel.,,85000,,,2026-02-04 23:43:39,2026-02-04
868,Wolf,Lena,Dr.,contacted,,,,,,hamburg,,,,,Facharzt,Innere Medizin,"Famulaturen:
Hamburg: Gynäkologie/Geburtshilfe; Innere Medizin, plastische Chirurgie, Neurologie

Praktisches Jahr:
Innere Medizin im UKE Hamburg
Gynäkologie und Geburtshilfe im UKE Hamburg
Chirurgie: Allgem. Krankenhaus Altona",,lena.wolf@outlook.com,+49 1645639841,,0pia62xagj0pijqxr3dp1wpof15e45,,,89500,,,2026-02-04 23:43:39,2026-02-04
1146,Fischer,Clara,Dr.,contacted,,,,,,,,,,,Facharzt,Orthopädie & UCH,,SP Fußchirurgie,clara.fischer@yahoo.de,+49 1208108732,,15ax53rmel1xxvmr3k320pi83vnjeh,,,79500,,,2026-02-04 23:43:39,2026-02-04
251,Schwarz,Julia,,interested,,,,,,"AT, CH, DE","ganz Deutschland, Österreich, Schweiz",,Ltd. OA,Chefarzt,Facharzt,"Radiologie, Neuroradiologie",will CA Neuroradiologie,"Arbeitet im Krupp, hat Modul E/F",julia.schwarz@web.de,+49 1720222876,,1xdrxcvvq80xi142eubw03yksjlhha,LinkedIn,,112500,,,2026-02-04 23:43:39,2026-02-04
233,Schneider,Klara,,interested,,,,,,"CH, DE","ganz Deutschland, Schweiz",,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",will ZWB Neuroradiologie machen,"Lüdenscheid will nicht weil keine ZWB möglich
Lübeck hat Segali selbst abgesagt
vereinbart, dass wir in Kontakt bleiben

Jetzt Uniklinik Marburg Honorarärztin

Hat neuro gemacht.
Macht aktuell befristete Anstellung
Recklinghausen wohnt 
Will Embolisation und alles für Modul F lernen
Hat 2024 Thrombektomien gemacht
30-40 gemacht
kann nach einem Monat Dienste machen
braucht 1 Jahr noch für die Zusatzbezeichnung Neuroradiologie
Kann Alles Diagnostik auch Mamma alles 
Kann auch Kinderradiologie 
2019 Mai FA gemacht
Ist aktuell befristet in Marburg
will 200k ohne Dienste Grundgehalt
CV kommt  
Ab 01.01.2026 kann anfangen",klara.schneider@gmail.com,+49 1467552838,,26k71evb6i1jf8pz40la0t3ymtinvy,Tel.,,88500,,,2026-02-04 23:43:39,2026-02-04
