id,last_name,first_name,description,status,status_expired_set,current_status_interview,datenquelle,adresse,strasse,hausnummer,plz,arbeitsort,wohnort,wunscharbeitsort,umzugszwang,available,regionale_verfuegbarkeit,position_now,next_career_step,qualification,department,short_note,long_note,e_mail,tel,linkedin,anlage_wann,minicrm_id,how_where_contacted,export_timestamp,export_date
137,Schulz,Isabella,Dr.,interested,,vorgestellt bei Mergen,,,,,,,,"AT, CH, DE",,"ganz Deutschland, Österreich, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt",Doppelfacharzt,"Radiologie, Nuklearmedizin",interessiert an Tele-Nuk,"interessiert an Tele-Nuk
DoppelFA Radiologie Nuklearmedizin",isabella.schulz@yahoo.de,+49 1700266371,,2025-10-28 23:59:00,2hae9ezock0umxg7nx520bwdv3bo0g,Tel.,2026-01-17 17:25:35,2026-01-17
147,Bauer,Mila,,interested,,vorgestellt bei Mergen,,,,,,,,"AT, CH, DE",,"ganz Deutschland, Österreich, Schweiz",,Oberarzt,Gesellschafter,Facharzt,Nuklearmedizin,will Gesellschafter,"Will als Gesellschafter, FA Nuklearmedizin
aktuell kein PET/CT aber in Uni viel PET/CT gemacht 2 Jahre in Folge
01.03.2026
Vollzeit 

bei Mergen vorgestellt. Leider von Mergen abgesagt weil zu sehr auf Geld fixiert. 
Gerne in Kontakt bleiben.",mila.bauer@yahoo.de,+49 1435394598,,2025-11-13 23:59:00,0n3xfama370v57gbi4xr2a077h2n4g,Tel.,2026-01-17 17:25:35,2026-01-17
154,Zimmermann,Anna,Dr.,interested,,vor Ort Besuch,,,,,,,,"CH, DE",True,"ganz Deutschland, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt, Gesellschafter",Facharzt,Nuklearmedizin,für Tele Nuk,"ihm wäre wichtig, dass er als Honorararzt arbeiten kann. Da er Notarzt in 4 Bezirken fährt, entgeht man so der Scheinselbstständigkeit.
Er würde sich über eine langfristige regelmäßige Zusammenarbeit sehr freuen. In unserem Gespräch hat er vorgeschlagen, dass er gerne alle PSMA Prostata PET/CT befunden könnte. Dazu würde er mindestens einen Tag pro Woche, in der Urlaubszeit auch gerne mehr, für unser Projekt fest einplanen. 

ist in HHU, will bis 2027 bleiben weil er habil macht. Macht auch Notarzt parallel und viel Forschung. Macht 80h pro Woche. Sehr interessiert an Tele Nuk. Sehr guten Kontakt zu Dr. Werner an der TUMünchen mit Forschung. Bei PUBMED seinen Namen eingeben. Hat in den letzten Jahren über 20 Publikationen. Kann gerne immer wieder für eine Woche nach München kommen. Will auch mit den Daten aus RoMed Forschen.",anna.zimmermann@gmail.com,+49 1095511823,,2025-10-29 23:59:00,1svayvl5px0hclwixqg32a37vuxz5b,Tel.,2026-01-17 17:25:35,2026-01-17
162,Müller,Julia,Dr.,interested,,,,,,,,,,"bochum, nordrhein-westfalen",False,NRW,,Standortleiter,"Oberarzt, Ltd. OA, Standortleiter, Gesellschafter",Facharzt,"Radiologie, Kinderradiologie",FA Rad und Kinderradiologie - Bochum und Umgebung,"Nur Bochum und Umgebung. Hat 3 Kinder. War bei Uhlenbrock. Ist Standortleiter von einem kleinen Standort Mrt,ct, rö. Hat die Zusatzbezeichnung Kinderradiologie. Q1 MSK, kann Prostata und Herz CT. Kein Herz MR kein Mamma. 
Datteln, Evidia, Uhlenbrock, Rh DT interessant wenn Verträge iteressant sind. Gerne Leitung oder Teilleitung. Gerne per Lin schreiben.",julia.müller@gmail.com,+49 1540758439,,2025-12-09 23:59:00,2f6hfo9u1e2l7queg3ld0bw9gbhi2o,Tel.,2026-01-17 17:25:35,2026-01-17
173,Becker,Maria,Dr.,interested,,,,,,,,,,köln,,,,Oberarzt,"Ltd. OA, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",OA Köln Merheim,"Lüdenscheid per Email angeboten

12.04.2023 - TP:
Sehr geehrte Frau Boss.

Vielen Dank für die Zusendung des Stellenangebotes.

Ich bin derzeit aber nicht an einem Arbeitsplatzwechsel interessiert.

Bei ähnlich attraktiven Angeboten dürfen Sie mich aber gerne wieder kontaktieren.


Mit freundlichen Grüßen.",maria.becker@yahoo.de,+49 1521802612,,2025-08-26 23:59:00,1f4rw53xhb1dgszenm2r0x63uxgise,Email,2026-01-17 17:25:35,2026-01-17
851,Krüger,Alina,,contacted,,,,,,,,,,,,,,,,Facharzt,"Orthopädie & UCH, Chirurgie",,"31.10.2022 - EB:
Arbeitet in Mettmanner KH, er hat eine inoffizielle ltd Position, ist Professor und verdient an die 160k. Er möchte unbedingt viel operieren. 
Ist Facharzt für Chirurgie mit Schwerpunkt Unfallchirurgie und Zusatzweiterbildung Notfallmedizin sowie Fachkunde aktive Notarzttätigkeit.",alina.krüger@yahoo.de,+49 1955339608,,2026-01-17 14:33:19.300648,216nrg49ri1p1hqomllb0ciom8sgb4,,2026-01-17 17:25:35,2026-01-17
193,Weber,Mara,Dr.,interested,,,,,,,,,,baden-württemberg,False,Baden-Württemberg,,Facharzt,"Facharzt, Oberarzt, Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",Mittel- und Südbaden (BW),vielen Dank für Ihre Nachricht. Ich bin aus privaten Gründen an Mittel- und Südbaden gebunden.,mara.weber@yahoo.de,+49 1148616516,,2022-02-10 23:59:00,1oppei2d8o0jzqmtfuyu09pytlz5wj,LinkedIn,2026-01-17 17:25:35,2026-01-17
198,Krüger,Anna,Dr.,interested,,,,,,,,,,"berlin, hamburg",,,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",ist bei Conradia HH - offen für HH oder Berlin,"15.10.2024 - TP:
FA Radiologie und Neuroradiologie. 56 J alt. Arbeitet in Elmshorn. 
Keine Interventionen. 
Kennt schon Viseorad",anna.krüger@outlook.com,+49 1519985289,,2026-01-17 14:33:19.383286,0u79n4761d00abpjlij31t3hi2fkvx,,2026-01-17 17:25:35,2026-01-17
214,Wagner,Lea,Dr.,interested,,,,,,,,,,nordrhein-westfalen,True,NRW,,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",Nur klinisch und am Rhein,"Keine Rückmeldung mehr erhalten für Ochtrop.

Nochmal ansprechen wegen des Gehaltes.

Nochmal Tel. Lüdenscheid nicht, weil zu weit weg. Will jetzt doch keine Dienste mehr und auch keine Interventionen. Eltern Leben im Ruhrgebiet. Leverkusen vorgestellt als Leitung ambulante Versorgung. Hat nur einen Mann und einen  Hund.

Arbeitet aktuell bei einem kirchlichen Träger, wo eigene Gesetze gelten. Das gefällt ihr nicht. Macht aktuell Diagnostik und möchte wieder Interventionen machen. Gerne nur Notfall Interventionen (Thrombektomien). Kein AVM etc. 
Hat 6M zum QEnde Kündigungsfrist. Hat viel Führungserfahrung. Umzug OK, weil nur Ehemann und Hund. Arbeitet auch in der Ärztekammer NRW.
Kein Mamma, MSK nicht Favorit aber auch gerne. Hat Zertifikate in Herz und Prostata Diagnostik. Will 230k Gehalt wenn sie wechseln soll.  
Vorheschagen Lüdenscheid und Leverkusen. Schick mir ihren CV.",lea.wagner@web.de,+49 1711343540,,2025-07-25 23:59:00,2ieon3lmo119rbzpcbiy1evo1623ev,Tel.,2026-01-17 17:25:35,2026-01-17
228,Krüger,Lisa,,interested,,,,,,,,,,DE,,ganz Deutschland,,Oberarzt,"Ltd. OA, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",will Ltd. OA mit interv. Neuroradiologie,"bei Ochtrop vorgestellt. Keine Rückmeldung.
Wien angefragt.",lisa.krüger@web.de,+49 1218635549,,2025-06-23 23:59:00,16m1b5i07w0t9n9bp35r1kls7qisud,Email,2026-01-17 17:25:35,2026-01-17
849,Wagner,Johanna,Dr.,interested,,,,,,,,,,CH,False,Schweiz,,,,Facharzt,"Radiologie, Mammographie",Basel und CH,"War 3 Jahre FA in Belgien
sucht in Basel und Umgebung ab 08/09-2025
Hat eine Absage bekommen weil das Deutsch noch nicht gut genug ist. 
Hat 1J Kind
Kann Mamma und Ultraschall
hat Mebeko",johanna.wagner@outlook.com,+49 1941796180,,2025-05-13 23:59:00,1z98qf4j9b0i8xvjgv4i08gvumjsll,Tel.,2026-01-17 17:25:35,2026-01-17
233,Schneider,Klara,,interested,,,,,,,,,,"CH, DE",True,"ganz Deutschland, Schweiz",,Ltd. OA,"Ltd. OA, Chefarzt, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",will ZWB Neuroradiologie machen,"Lüdenscheid will nicht weil keine ZWB möglich
Lübeck hat Segali selbst abgesagt
vereinbart, dass wir in Kontakt bleiben

Jetzt Uniklinik Marburg Honorarärztin

Hat neuro gemacht.
Macht aktuell befristete Anstellung
Recklinghausen wohnt 
Will Embolisation und alles für Modul F lernen
Hat 2024 Thrombektomien gemacht
30-40 gemacht
kann nach einem Monat Dienste machen
braucht 1 Jahr noch für die Zusatzbezeichnung Neuroradiologie
Kann Alles Diagnostik auch Mamma alles 
Kann auch Kinderradiologie 
2019 Mai FA gemacht
Ist aktuell befristet in Marburg
will 200k ohne Dienste Grundgehalt
CV kommt  
Ab 01.01.2026 kann anfangen",klara.schneider@gmail.com,+49 1467552838,,2025-07-24 23:59:00,26k71evb6i1jf8pz40la0t3ymtinvy,Tel.,2026-01-17 17:25:35,2026-01-17
234,Hartmann,Maria,,interested,,,,,,,,,,"CH, DE",True,"ganz Deutschland, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",will Ltd. OA mit interv. Neuroradiologie,"hat einen Vertrag von seinem aktuellen AG angeboten bekommen. will sich nächste Woche mit Antwort melden. Keine Rückmeldung.
35 J alt
In Köln studiert
war bei Klinikum Oberberg
Uni Aachen Neuroradiologie gelernt
kann Thrombektomie 
Aktuell OA Strahlsund Helios
Zertifikat Modul E kann machen.
Macht 10 Dienste bei Helios 
will 250k",maria.hartmann@web.de,+49 1725321619,,2025-07-15 23:59:00,12cna1pnot0lb07vn617208nzqqpfs,Tel.,2026-01-17 17:25:35,2026-01-17
235,Krüger,Mila,,in Interview,,1. Kennenlernen,,,,,,,,"CH, DE",True,"ganz Deutschland, Schweiz",,Facharzt,"Oberarzt, Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",kann alle Interventionen,"Bei Göbel in Herdecke angefragt
vorgestellt bei Kramer

Hat ein gutes Angebot OA mit 200k

Segali hat angeboten 175 - 200 - 220
OA - Modul E - Ltd. OA 
Diagnostik ist Problem 
Diagn 50/50

spricht Russisch.
Macht seit 3 Jahren selbst Thrombektomien
bereitet sich auf Modul E vor
Kann auch Kardio Interventionen. 20 Jahre Berufserfahrung mit Kardiologie und Neurochirurgie
Familie hat Haus in Celle gekauft. Könnten Umziehen. Pain Poit sein Chef weiß dass er ein Haus hat und will ihm keine OA Stelle geben. 
Sein Chef kommt aus Uni Lübeck
Diagnostik müsste lernen.",mila.krüger@yahoo.de,+49 1805827780,,2025-12-17 23:59:00,1jmp9rm8e202gwyfedzi2abn6jz2j4,Email,2026-01-17 17:25:35,2026-01-17
238,Meyer,Mila,,interested,,,,,,,,,,"CH, DE",,"ganz Deutschland, Schweiz",,Facharzt,"Facharzt, Oberarzt, Ltd. OA, Standortleiter",Facharzt,"Radiologie, Neuroradiologie",Interventionelle Neuroradiologie,"11/2025 hat einen neuen Job in Gemainschaftskh Herdecke
Tel. Nr. von Mraisch erhalten

Tel: Hat Thrombektomien gemacht 49 selbst 
Schnell anfangen ab 01.11. Vollzeit
Wohnt in Hagen
Ist bis Oktober gebunden
3 Monate Teilzeit 50% bis dahin
Und danach Vollzeit
Er soll Weiterbildungsermächtigung machen, Will Zusatzweiterbildung Neuroradiologie
Hat schon 3 Monate Weiterbildung gemacht
Angebot aus Cottbus für 240k 8 inkl.",mila.meyer@web.de,+49 1623987009,,2025-07-24 23:59:00,1d383ysd361pb775yokd2kbqh8snah,Email,2026-01-17 17:25:35,2026-01-17
239,Koch,Lisa,,interested,,,,,,,,,,"heidelberg, mannheim",,,,Oberarzt,"Ltd. OA, Chefarzt, Gesellschafter",Facharzt,"Radiologie, Neuroradiologie",will Ltd. OA mit interv. Neuroradiologie - Mannheim und Umgebung Heidelberg,"wohnt in Mannheim, auch Heidelberg wäre ok
Ende 2023 FA und immer nur an Unis
macht aktuell WB Neuroradiologie
Auch gerne CH
Mitte 2027 ist feritg mit Weiterildung
kann auch allg. Interventionen machen
gerne im ambulanen Bereich ohne Interventionen für Familienzeit
keine Mamma, will weg von der Uni. will gutes Leben aber mit Familienzeit
von interventionen in die niederlassung 
genre gesellschafter

Hallo Herr Likhachev, vielen Dank für Ihre Nachricht. Ich wohne in Mannheim. Falls Sie in Zukunft Angebote in der Region haben, würde ich mich sehr darüber freuen.
Ich werde meinen Schwerpunkt in der Neuroradiologie erst absolvieren. Denken Sie, dass sich das auf das Gehalt auswirkt?",lisa.koch@yahoo.de,+49 1936476240,,2025-07-14 23:59:00,2e9dl3390o2hnskgzfen0qg66m29xo,LinkedIn,2026-01-17 17:25:35,2026-01-17
240,Zimmermann,Isabella,Dr.,interested,,,,,,,,,,"CH, DE",,"ganz Deutschland, Schweiz",,Oberarzt,"Ltd. OA, Chefarzt",Facharzt,"Radiologie, Neuroradiologie",will Leitung Neuroradiologie mit E und F,"St. Gallen vorgestellt. Abgesagt, weil Gehalt zu niedrig.

 Kennt Dr. Hellstern. Tel. Verdient jetzt 270 ohne Zulagen. Vllt wegen der Familie doch interessant. Ist am Montag in Zürich. vereinbart dass ich freitag nächste Woche anrufe, sie ist dann im Urlaub

macht nur Neurointerventionen inkl. AVM, Durafestel etc. Keine Diagnistik 
Hat Modul E und F
Will Leitung. Ist jetzt OA und wird geschäftsführende OA
vereinbart, dass wir in Kontakt bleiben. 
Sucht längerfristig war interventionelles E und F
Sektionsleitun ltd. OA
jetzt Vollzeit mit 18 Dienste aktuell

St. Gallen angeboten",isabella.zimmermann@web.de,+49 1095671607,,2025-11-21 23:59:00,05s9prq3xa27g5zvj3ts19tl21sfxb,Tel.,2026-01-17 17:25:35,2026-01-17
242,Richter,Nina,,interested,,,,,,,,,,"CH, DE",True,"ganz Deutschland, Schweiz",,Facharzt,"Oberarzt, Ltd. OA",Facharzt,"Radiologie, Neuroradiologie",will Neurointerventionen lernen,"Seit 1 Jahr FA und ist offen. 
Will Zusatzweiterbildung Neuroradiologie zu Ende machen und ist Ende des Jahres fertig
Ganz DE offen
SP Diagn. Neurodiagnostik, Onko und Prostata",nina.richter@web.de,+49 1396810729,,2025-07-30 23:59:00,0sj8g4up4j0kao63yk582q7utjnxpe,Tel.,2026-01-17 17:25:35,2026-01-17
871,Neumann,Elena,,contacted,,,,,,,,,,,,,,,,Facharzt,Innere Medizin,,,elena.neumann@yahoo.de,+49 1944251757,,2026-01-17 14:33:19.303211,1ijgs34dsw2iprhddt8n0q16wdflci,,2026-01-17 17:25:35,2026-01-17
246,Krüger,Clara,,interested,,vorgestellt bei Bader,,,,,,,,"CH, DE",True,"ganz Deutschland, Schweiz",,Chefarzt,"Chefarzt, Gesellschafter",Facharzt,"Radiologie, Neuroradiologie",will Gesellschafter,"ist CA in Leer

vorgestellt bei Bader - absage Email

Mamma hat lange gemacht
Prostata und Herz wenig 
SP MSK und Neuro
210k OK
Anfang des Jahres anfangen
Erst er ein paar Monate und dann Familie
Haben ein Haus in Meppen
Wenn dann nur Beteiligung interessant",clara.krüger@yahoo.de,+49 1304055831,,2025-08-28 23:59:00,0iv8cjhb8a22i2fo1c772if32fmzyc,Tel.,2026-01-17 17:25:35,2026-01-17
247,Schneider,Clara,,interested,,,,,,,,,,nordrhein-westfalen,False,NRW,,Ltd. OA,Chefarzt,Facharzt,"Radiologie, Neuroradiologie",nur CA mit interventioneller Neuroradiologie,"ist Ltd. OA in Solingen.
Hat Module E und F 
macht alles 
haben haus gekauft in Unterrath nur Düsseldorf und Umgebung
Wenn dann CA mit Interventionen und gerne auch Bauch und gelenkinterventionen",clara.schneider@web.de,+49 1912625657,,2025-08-27 23:59:00,0eitwqd21p07s15mlaum1ee55ddjwo,Tel.,2026-01-17 17:25:35,2026-01-17
868,Wolf,Lena,Dr.,contacted,,,,,,,,,,hamburg,,,,,,Facharzt,Innere Medizin,"Famulaturen:
Hamburg: Gynäkologie/Geburtshilfe; Innere Medizin, plastische Chirurgie, Neurologie

Praktisches Jahr:
Innere Medizin im UKE Hamburg
Gynäkologie und Geburtshilfe im UKE Hamburg
Chirurgie: Allgem. Krankenhaus Altona",,lena.wolf@outlook.com,+49 1645639841,,2026-01-17 14:33:19.302176,0pia62xagj0pijqxr3dp1wpof15e45,,2026-01-17 17:25:35,2026-01-17
893,Zimmermann,Lena,,contacted,,,,,,,,,,,,,,,,Facharzt,Innere Medizin,,"22.12.2022 - vmartynenko:
Interesse an Chefarztstellen in der Schweiz",lena.zimmermann@outlook.com,+49 1810317033,,2026-01-17 14:33:19.305195,2nszvqdtsb0vxzzr1hn92op7slggz5,,2026-01-17 17:25:35,2026-01-17
