First Name,Last Name,Headline,Job Title,Company,Location,Industry,Email,Linkedin,Profile Picture,Languages,Date of Birth,Followers,Enriched Private Email,Enriched Business Email,Enriched Phone,Notes,Tags,Last contact date,Date Connected,Mutual Connection
Luise,Schumacher,Gesellschafter | Diagnostische und Interventionelle Radiologie | EBIR,"Gesellschafter, Klinik für Diagnostische und Interventionelle Radiologie",Klinikum Rehsen,"Germany, Rehsen, Sachsen-Anhalt, Germany",Medical Practices,luise.schumacher@mail.de,https://www.linkedin.com/in/luise-schumacher-420759/,https://media.licdn.com/dms/image/v2/C5603AQFmkzn70iuwsyh1s940k11yg4uc89zsfsz7ryfifia65u/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-04-20 08:44,No
Sebastian,Krämer,PD | MTRA | Innere Medizin | EBIR,"MTRA, Klinik für Innere Medizin",Klinikum Waldbreitbach,"Germany, Waldbreitbach, Rheinland-Pfalz, Germany",Medical Practices,sebastian.krämer@mail.de,https://www.linkedin.com/in/sebastian-krämer-461877/,https://media.licdn.com/dms/image/v2/C5603AQFs7xboeo9pvaap1hflya4b4p7nyzvwyx3tgv2jyzmdjq/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2025-02-23 13:25,No
Emily,Schulz,Gesellschafter | Mammographie | EBIR,"Gesellschafter, Klinik für Mammographie",Klinikum Gerstungen,"Germany, Gerstungen, Thüringen, Germany",Medical Practices,emily.schulz@mail.de,https://www.linkedin.com/in/emily-schulz-399050/,https://media.licdn.com/dms/image/v2/C5603AQFaon7hwatqllilb4oihyn6kqt5xt8zjg068llykrod0a/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-04-13 18:02,No
Emma,Müller,Dr. med. | Oberarzt | Psychiatrie | EBIR,"Oberarzt, Klinik für Psychiatrie",Klinikum Singen,"Germany, Singen, Baden-Württemberg, Germany",Medical Practices,emma.müller@mail.de,https://www.linkedin.com/in/emma-müller-423657/,https://media.licdn.com/dms/image/v2/C5603AQFnkwb6h8whm96ngc053gb2xqe8klc40mkl7vpzoszs32/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-02-24 10:11,No
Ben,König,Prof. Dr. | Facharzt | Pädiatrie/ Kindermedizin | EBIR,"Facharzt, Klinik für Pädiatrie/ Kindermedizin","Klinikum Falkenberg Kruge/Gersdorf, Gersdorf","Germany, Falkenberg Kruge/Gersdorf, Gersdorf, Brandenburg, Germany",Medical Practices,ben.könig@mail.de,https://www.linkedin.com/in/ben-könig-178222/,https://media.licdn.com/dms/image/v2/C5603AQFl4cgz6dkwu3ytub6bok4alko2cvx9j8pat0enim86tt/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-12-03 10:47,No
Hannah,Schmitz,Prof. Dr. | sonstige | Pädiatrie | EBIR,"sonstige, Klinik für Pädiatrie",Klinikum Urnshausen,"Germany, Urnshausen, Thüringen, Germany",Medical Practices,hannah.schmitz@mail.de,https://www.linkedin.com/in/hannah-schmitz-658850/,https://media.licdn.com/dms/image/v2/C5603AQFvtqfxoydhxjfwh13h8uh429xg0b3tcqa3c85xq9dqyu/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2024-09-01 18:59,No
Louis,Walter,sonstige | Psychiatrie | EBIR,"sonstige, Klinik für Psychiatrie",Klinikum Niederkirchen,"Germany, Niederkirchen, Rheinland-Pfalz, Germany",Medical Practices,louis.walter@mail.de,https://www.linkedin.com/in/louis-walter-526285/,https://media.licdn.com/dms/image/v2/C5603AQFbgnc8dh5jfiawxg3n9ixfkownvettju3om89tzpy745/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-11-17 16:27,No
Birgit,Becker,Dr. med. | Ltd. OA | Diagnostische und Interventionelle Radiologie | EBIR,"Ltd. OA, Klinik für Diagnostische und Interventionelle Radiologie",Klinikum Schwendi,"Germany, Schwendi, Baden-Württemberg, Germany",Medical Practices,birgit.becker@mail.de,https://www.linkedin.com/in/birgit-becker-962229/,https://media.licdn.com/dms/image/v2/C5603AQF7itdadpr362etqn521yhpytvrxzl7p0ryctzzhphiv5/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-01-11 11:17,No
Martin,Groß,Dr. med. | Standortleiter | Pädiatrie/ Kindermedizin | EBIR,"Standortleiter, Klinik für Pädiatrie/ Kindermedizin",Klinikum Breuberg,"Germany, Breuberg, Hessen, Germany",Medical Practices,martin.groß@mail.de,https://www.linkedin.com/in/martin-groß-186224/,https://media.licdn.com/dms/image/v2/C5603AQFwbsrjg97wf3tc964v7ebttqf11oiwcjdwmbbk02qx6g/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-01-13 18:09,No
Anna,Schmid,Prof. Dr. | Assistenzarzt | Chirurgie | EBIR,"Assistenzarzt, Klinik für Chirurgie",Klinikum Wust,"Germany, Wust, Sachsen-Anhalt, Germany",Medical Practices,anna.schmid@mail.de,https://www.linkedin.com/in/anna-schmid-746353/,https://media.licdn.com/dms/image/v2/C5603AQFcndv7swta16qcsvl8obgts71ydpw7fkod7iok9u11pl/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-06-25 09:02,No
Finn,Peters,Dr. med. | Standortleiter | Mammographie | EBIR,"Standortleiter, Klinik für Mammographie",Klinikum Groß Döbbern,"Germany, Groß Döbbern, Brandenburg, Germany",Medical Practices,finn.peters@mail.de,https://www.linkedin.com/in/finn-peters-883230/,https://media.licdn.com/dms/image/v2/C5603AQFbdhyfhm5w58l2flhvg7w2azd99pefzl60gbhmzkb7uv/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-01-15 18:10,No
David,Werner,Dr. | Gesellschafter | Anästhesie | EBIR,"Gesellschafter, Klinik für Anästhesie",Klinikum Morscheid,"Germany, Morscheid, Rheinland-Pfalz, Germany",Medical Practices,david.werner@mail.de,https://www.linkedin.com/in/david-werner-900976/,https://media.licdn.com/dms/image/v2/C5603AQFofjn6e2kt2al8d2ypo05v2p849y3281pzw2owhi33gp/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2024-11-15 11:35,No
Finn,Braun,PD | MTRA | Gynäkologie | EBIR,"MTRA, Klinik für Gynäkologie",Klinikum Villenbach,"Germany, Villenbach, Bayern, Germany",Medical Practices,finn.braun@mail.de,https://www.linkedin.com/in/finn-braun-430131/,https://media.licdn.com/dms/image/v2/C5603AQFxkap3hrb7zhiq2gglyj0f7hxdxrvmkmut0uwbn78mwo/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-03-28 15:23,No
Oskar,Schröder,Prof. Dr. | Oberarzt | Pädiatrie/ Kindermedizin | EBIR,"Oberarzt, Klinik für Pädiatrie/ Kindermedizin",Klinikum Drachselsried,"Germany, Drachselsried, Bayern, Germany",Medical Practices,oskar.schröder@mail.de,https://www.linkedin.com/in/oskar-schröder-880116/,https://media.licdn.com/dms/image/v2/C5603AQFr0fdk74twdcxwhg9n0y8ammt8lutowdz9yd3o9jzvei/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2024-05-19 11:18,No
Tim,Frank,Prof. Dr. | Ltd. OA | Pädiatrie/ Kindermedizin | EBIR,"Ltd. OA, Klinik für Pädiatrie/ Kindermedizin",Klinikum Willingen,"Germany, Willingen, Rheinland-Pfalz, Germany",Medical Practices,tim.frank@mail.de,https://www.linkedin.com/in/tim-frank-521452/,https://media.licdn.com/dms/image/v2/C5603AQFi7gxcy5jiho8vy72wumemm8mly2kx41kevuojxn4mp6/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-06-28 12:33,No
Oliver,Winkler,Prof. Dr. | Assistenzarzt | Neuroradiologie | EBIR,"Assistenzarzt, Klinik für Neuroradiologie",Klinikum Hamburg Eilbek,"Germany, Hamburg Eilbek, Hamburg, Germany",Medical Practices,oliver.winkler@mail.de,https://www.linkedin.com/in/oliver-winkler-648230/,https://media.licdn.com/dms/image/v2/C5603AQF409bkt5sx1cz6zzdgmvskt24fsbg2e28mv1oeo0k8c3/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-07-02 18:46,No
Elias,Lange,Standortleiter | Innere Medizin | EBIR,"Standortleiter, Klinik für Innere Medizin",Klinikum Schwabmünchen,"Germany, Schwabmünchen, Bayern, Germany",Medical Practices,elias.lange@mail.de,https://www.linkedin.com/in/elias-lange-509583/,https://media.licdn.com/dms/image/v2/C5603AQFzrf0d5s5fkm039hgmjo23atmxbrptnz5gqjlmcof7g6/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2025-01-09 17:27,No
Amelie,Krause,Prof. Dr. | Facharzt | Mammographie | EBIR,"Facharzt, Klinik für Mammographie",Klinikum Geilenkirchen,"Germany, Geilenkirchen, Nordrhein-Westfalen, Germany",Medical Practices,amelie.krause@mail.de,https://www.linkedin.com/in/amelie-krause-469319/,https://media.licdn.com/dms/image/v2/C5603AQFhk21r9f2yppf1v8e087snux20etq5zov92ih4d1k7cg/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-07-07 16:45,No
Frank,Albrecht,Gesellschafter | Kinderradiologie | EBIR,"Gesellschafter, Klinik für Kinderradiologie",Klinikum Bad Bramstedt,"Germany, Bad Bramstedt, Schleswig-Holstein, Germany",Medical Practices,frank.albrecht@mail.de,https://www.linkedin.com/in/frank-albrecht-631722/,https://media.licdn.com/dms/image/v2/C5603AQFyyr738ucwg2boyr1lp8t8gv2kfyvtktp919vw10d3gu/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-07-27 15:13,No
Peter,Simon,Dr. | Gesellschafter | Anästhesie | EBIR,"Gesellschafter, Klinik für Anästhesie",Klinikum Dreikirchen,"Germany, Dreikirchen, Rheinland-Pfalz, Germany",Medical Practices,peter.simon@mail.de,https://www.linkedin.com/in/peter-simon-575478/,https://media.licdn.com/dms/image/v2/C5603AQFxxkskl8ah5k0scen63yujyzboh40zvg7lq6au2sbx0x/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-04-20 11:08,No
Birgit,Schmid,sonstige | Orthopädie & UCH | EBIR,"sonstige, Klinik für Orthopädie & UCH",Klinikum Clenze Groß Sachau,"Germany, Clenze Groß Sachau, Niedersachsen, Germany",Medical Practices,birgit.schmid@mail.de,https://www.linkedin.com/in/birgit-schmid-103936/,https://media.licdn.com/dms/image/v2/C5603AQFs1ufy2sohhjwufesza129r0d4e5y9qtq7v64ia5m6l6/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-02-14 11:30,No
Ida,Weber,Dr. | Facharzt | Psychiatrie | EBIR,"Facharzt, Klinik für Psychiatrie",Klinikum Stockach,"Germany, Stockach, Baden-Württemberg, Germany",Medical Practices,ida.weber@mail.de,https://www.linkedin.com/in/ida-weber-738975/,https://media.licdn.com/dms/image/v2/C5603AQF8958sh2cszkl5o7zxa5iotzeznjvugt0l2lj3ceet9x/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2024-05-05 08:33,No
Frieda,Schuster,MTRA | Innere Medizin | EBIR,"MTRA, Klinik für Innere Medizin",Klinikum Lebehn,"Germany, Lebehn, Mecklenburg-Vorpommern, Germany",Medical Practices,frieda.schuster@mail.de,https://www.linkedin.com/in/frieda-schuster-345948/,https://media.licdn.com/dms/image/v2/C5603AQFgnj127fmls0qwerjrjo953xdn41iov7k6ij2gr6gpf9/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2024-11-09 16:35,No
Vanessa,Keller,PD | Assistenzarzt | Orthopädie & UCH | EBIR,"Assistenzarzt, Klinik für Orthopädie & UCH",Klinikum Balingen,"Germany, Balingen, Baden-Württemberg, Germany",Medical Practices,vanessa.keller@mail.de,https://www.linkedin.com/in/vanessa-keller-780775/,https://media.licdn.com/dms/image/v2/C5603AQF9s8h8nz698xipksgt1erttibj8re4k9lkf5dkdwt6tu/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-07-18 12:13,No
Simon,Böhm,Dr. med. | Chefarzt | Innere Medizin | EBIR,"Chefarzt, Klinik für Innere Medizin",Klinikum Bockhorn Jührdenerfeld,"Germany, Bockhorn Jührdenerfeld, Niedersachsen, Germany",Medical Practices,simon.böhm@mail.de,https://www.linkedin.com/in/simon-böhm-767206/,https://media.licdn.com/dms/image/v2/C5603AQF262zfjge7k5i31ml4i9h72o8j1j870y7q6btnfpkpho/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2026-01-25 09:38,No
Tim,Schneider,Dr. | Ltd. OA | Pädiatrie/ Kindermedizin | EBIR,"Ltd. OA, Klinik für Pädiatrie/ Kindermedizin",Klinikum Brennberg,"Germany, Brennberg, Bayern, Germany",Medical Practices,tim.schneider@mail.de,https://www.linkedin.com/in/tim-schneider-996039/,https://media.licdn.com/dms/image/v2/C5603AQFn9h8ckwazwibbzwc7th6nakuiqw9gzcltwdfvhq5zme/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-05-02 16:00,No
Oliver,Krause,Dr. med. | sonstige | Pädiatrie/ Kindermedizin | EBIR,"sonstige, Klinik für Pädiatrie/ Kindermedizin",Klinikum Pahlen,"Germany, Pahlen, Schleswig-Holstein, Germany",Medical Practices,oliver.krause@mail.de,https://www.linkedin.com/in/oliver-krause-247391/,https://media.licdn.com/dms/image/v2/C5603AQFn2g48sz5hw3wq7ky8tmojcj0hb3105wy16rs540riu7/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-02-02 13:17,No
Lena,Schuster,Assistenzarzt | Pädiatrie/ Kindermedizin | EBIR,"Assistenzarzt, Klinik für Pädiatrie/ Kindermedizin",Klinikum Cottbus,"Germany, Cottbus, Brandenburg, Germany",Medical Practices,lena.schuster@mail.de,https://www.linkedin.com/in/lena-schuster-565891/,https://media.licdn.com/dms/image/v2/C5603AQF2bddfr8t62vr2wezq4xoj5shtwftso44m7zze2xot4f/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-08-04 09:46,No
Moritz,Schubert,Dr. med. | MTRA | Pädiatrie | EBIR,"MTRA, Klinik für Pädiatrie",Klinikum Rollwitz,"Germany, Rollwitz, Mecklenburg-Vorpommern, Germany",Medical Practices,moritz.schubert@mail.de,https://www.linkedin.com/in/moritz-schubert-191997/,https://media.licdn.com/dms/image/v2/C5603AQF29bjszps9sbhuov2gs3sjq9el9yzvb655ssmbmg9281/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-10-28 13:58,No
Matteo,Vogel,Prof. Dr. | Facharzt | Nuklearmedizin | EBIR,"Facharzt, Klinik für Nuklearmedizin",Klinikum Neuberend,"Germany, Neuberend, Schleswig-Holstein, Germany",Medical Practices,matteo.vogel@mail.de,https://www.linkedin.com/in/matteo-vogel-919134/,https://media.licdn.com/dms/image/v2/C5603AQFfmjfzgfrqydeujj61hpamgrjowr34v055tz4pm849uc/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-02-12 15:19,No
Philipp,Huber,Dr. med. | Ltd. OA | Chirurgie | EBIR,"Ltd. OA, Klinik für Chirurgie",Klinikum Weitenhagen,"Germany, Weitenhagen, Mecklenburg-Vorpommern, Germany",Medical Practices,philipp.huber@mail.de,https://www.linkedin.com/in/philipp-huber-935790/,https://media.licdn.com/dms/image/v2/C5603AQFkgn21gwvp256dlq4cd8w093y0iryama7q0xbd3yh04b/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2024-02-02 18:40,No
Oskar,Hoffmann,Assistenzarzt | Pädiatrie | EBIR,"Assistenzarzt, Klinik für Pädiatrie",Klinikum Clenze Granstedt,"Germany, Clenze Granstedt, Niedersachsen, Germany",Medical Practices,oskar.hoffmann@mail.de,https://www.linkedin.com/in/oskar-hoffmann-768364/,https://media.licdn.com/dms/image/v2/C5603AQFcidefudb3oshl2iyikcy3wbzbg317vtkxcq2bcc4dhj/profile-displayphoto-shrink_200_200/0/1634918689088?e=2147483647&v=beta&t=ANtxAwI7SwAKbYJ-yaUuLBaL61Ea4ybtVAYfj1oFSCM,,,,,,,,"LinkedIn,LinkedIn 1st",,2023-12-28 14:31,No
